"user_name","user_screen_name","user_description","country.query","follower_count","tweet_count","sentiment_mean","sentiment_sd","sympathy_mean","sympathy_sd"
"مصراوي","Masrawy","أول وأكبر بوابة مصرية
http://t.co/0kzBV5rE2v","Egypt_en",1184100,14,-0.214285714285714,0.801783725737273,0.857142857142857,0.534522483824849
"اليوم السابع","youm7","الصفحة الرسمية لجريدة اليوم السابع علي تويتر ..الموقع الاخباري الاول في مصر والشرق الاوسط
Follow @youm7 for latest stories and breaking news from #Egypt","Egypt_en",4536406,44,-0.159090909090909,0.93865767141247,0.818181818181818,0.581606726902305
"Shorouk News","Shorouk_News","الشروق الجديد جريدة يومية مصرية مستقلة تأسست في فبراير 2009","Egypt_en",2914627,26,-0.192307692307692,0.938902796640026,0.846153846153846,0.543492976389406
"شبكة رصد","RassdNewsN","People's Media | إعلامُ الجُمهور","Egypt_en",1993750,9,-0.333333333333333,0.866025403784439,0.555555555555556,0.881917103688197
"المصري اليوم","AlMasryAlYoum","المصري اليوم، الصحيفة اليومية الأولى في مصر","Egypt_en",2260623,17,-0.352941176470588,0.861769724940212,0.764705882352941,0.664211164155071
"بوابة الوطن","ElwatanNews","جريدة مصرية يومية مستقلة","Egypt_en",1730744,15,-0.266666666666667,0.79880863671798,0.6,0.828078671210825
"اخبارك.نت","akhbarak","اخبار مصر و العالم من جميع المصادر الاخبارية ... https://t.co/B8SJFE43lP
https://t.co/fDbnq5IQwi","Egypt_na",111724,7,-0.142857142857143,1.0690449676497,1,0
"El Badil البديل","ElBadilNews","صحيفة مصرية","Egypt_en",325545,2,0,1.4142135623731,1,0
"الجزيرة مباشر الآن","ajmurgent","Official Al Jazeera Mubahser News account آخر وأهم الأخبار تتابعونها عبر هذا الحساب","Egypt_en",552099,2,-1,0,0,1.4142135623731
"Voice of Iraq","sotaliraqcom","Iraqi News & Opinion - صوت العراق","Iraq_en",8003,1,0,NA,-1,NA
"Elnashra","ElnashraNews","Lebanon & Middle East news 24/7.","Lebanon_en",321838,13,-0.384615384615385,0.960768922830523,1,0
"بوابة القاهرة","CairoNewsPortal","بوابة إخبارية تعمل على مدار24 ساعة تهتم بالشأن المصري والعربي وتقف على مسافة واحدة من الجميع لتقدم ما عجز عنه الآخرون تابعونا","Egypt_na",129975,8,-1,0,0.25,1.03509833901353
"شبكة مصر الإخبارية","masralekhbaria","الحساب الرسمي لـ مصر الإخبارية","Egypt_na",256053,7,-0.571428571428571,0.786795792469443,0.714285714285714,0.755928946018454
"Almogaz","Almogaz","الموجز هو موقع إخباري باللغة العربية يهتم بتغطية الأحداث المصرية والعربية والعالمية على مدار الساعة.","Egypt_en",115620,6,0.333333333333333,0.816496580927726,0.666666666666667,0.816496580927726
"الأهرام Ahram","eahram","Al Ahram is an Egyptian publishing & Media house; it is the publisher of the daily Al-Ahram, in publication since 1875
مؤسسة الأهرام للصحافة والنشر","Egypt_en",3649882,4,0.75,0.5,1,0
"Cairo Live 24/7","Cairotoday","The official account of Cairo Live 24/7, #CairoLive provides the latest breaking news from Cairo Egypt from hundreds of sources, all in one place","Egypt_en",65380,8,-0.5,0.755928946018454,-0.25,1.03509833901353
"جريدة الفجر","ElfagrNews","الحساب الرسمى لبوابة الفجر الالكترونية تصدر عن جريدة الفجر المصرية و يرأس تحريرها عادل حمودة","Egypt_en",505169,13,-0.230769230769231,0.926808695996298,0.692307692307692,0.751067616198811
"أخبار المصري","Akhbar_almasry","أهم الأخبار من مصر الإخبارية","Egypt_na",11655,5,-0.6,0.547722557505166,0.2,1.09544511501033
"التحرير الإخباري","Tahrir_News","الصفحة الرسمية لجريدة التحرير على موقع تويتر.","Egypt_en",2425437,1,0,NA,1,NA
"KAMINDOZ","KAMINDOZ","#صحفي و #اعلامي من #العراق اهتم في #الاخبار #السياسية و #التقنية دعم #الجيش_العراقي و #الحشد_الشعبي
#KAMINDOZ @KAMINDOZ #IRAQ
https://t.co/xl47iUDBNZ #NEWS #IQ","Iraq_en",36520,17,-0.647058823529412,0.701888209634219,0.294117647058824,0.985184366143778
"CNN بالعربية","cnnarabic","World Wide News Leader, in Arabic 
https://t.co/U1V8ei6LDz  https://t.co/PhIonVHtAy","Egypt_en",5972264,4,-1,0,0,1.15470053837925
"Future TV :: News","futuretvnews","Follow @Futuretvgroup  for Updates on our programs","Lebanon_en",180366,1,-1,NA,-1,NA
"NBN Television","nbnlebanon","National Broadcasting Network - NBN, is a Lebanese private company, founded in 1996. NBN is aiming to become the first News and Thematic Station in Lebanon.","Lebanon_en",8895,1,-1,NA,-1,NA
